iteration,instance_idx,stress
41,3,648239.848492988
41,4,570283.9434659993
41,5,732066.4724516555
41,6,727856.3919688766
41,7,1188684.0667831474
41,8,533790.9284008361
41,9,752850.5229480616
42,0,777930.424227738
42,1,777106.4333341856
42,2,643230.8020383673
42,3,673707.1310950592
42,4,994029.3465188172
42,5,684606.1972749095
42,6,942957.2253368981
42,7,1257092.6339874899
42,8,1035171.6796835059
42,9,731001.5421889038
43,0,1184979.9529777106
43,1,554881.773652386
43,2,633449.0416755916
43,3,659490.7991065993
43,4,673062.2034835584
43,5,671838.9184635853
43,6,991674.6040938039
43,7,1332678.0791875382
43,8,907937.0669105931
43,9,920725.72955993
44,0,1780796.5040242579
44,1,859128.1100723315
44,2,551205.2157899812
44,3,994453.6348613675
44,4,747172.7775528713
44,5,2025880.347420827
44,6,737740.3053389792
44,7,1076836.2477346445
44,8,660105.9116812755
44,9,924689.6776720388
45,0,1112786.9838332802
45,1,605323.702781792
45,2,1059709.2702247684
45,3,643638.6835503379
45,4,1511381.498078739
45,5,975639.9005850783
45,6,1114391.5602190702
45,7,614058.9017368599
45,8,940113.123305411
45,9,1342031.785215459
46,0,678772.7502727885
46,1,644151.3161576384
46,2,1251253.6708037234
46,3,748820.997555402
46,4,832213.7179960775
46,5,717943.2367012076
46,6,630276.9822113011
46,7,777059.5683459399
46,8,2039532.130240848
46,9,645975.4419307897
47,0,747744.6567758445
47,1,581175.2666669185
47,2,1607172.901722781
47,3,636585.6841429744
47,4,605298.4858697393
47,5,1238518.1571358943
47,6,635873.3196319524
47,7,1169601.2773676075
47,8,759994.4693615373
47,9,930853.1801246302
48,0,565374.9864626534
48,1,548875.9409454231
48,2,1574970.6407060593
48,3,623851.120801132
48,4,616480.5724199455
48,5,551367.6905403392
48,6,1106728.0567641284
48,7,770979.7855772309
48,8,634979.3798437469
48,9,770961.8998222431
49,0,736852.1881909367
49,1,789821.8365545891
49,2,1308162.429011757
49,3,565296.9374232229
49,4,632151.08256753
49,5,699626.2668452208
49,6,588222.817933489
49,7,976742.2694783941
49,8,1874654.2427413396
49,9,1394299.113690539
